,Energy,Error,Architecture,Method,cost
296,0.128093828247164,0.246593622163474,SqueezeNet,FlexiBO+GP,0
297,0.110508750345913,0.271887653567717,SqueezeNet,FlexiBO+GP,0
298,0.106641194141319,0.313554180898153,SqueezeNet,FlexiBO+GP,0
299,0.104190630511684,0.329810840660285,SqueezeNet,FlexiBO+GP,0
300,0.245056362963481,0.172146642037816,SqueezeNet,FlexiBO+RF,0
301,0.173990017704072,0.173015989184808,SqueezeNet,FlexiBO+RF,0
302,0.153330666053192,0.180478720086427,SqueezeNet,FlexiBO+RF,0
303,0.139529791852126,0.213015989184808,SqueezeNet,FlexiBO+RF,0
304,0.129529791852126,0.241032070899885,SqueezeNet,FlexiBO+RF,0
305,0.114276283545215,0.30465209526324,SqueezeNet,FlexiBO+RF,0
306,0.111775708412935,0.320216892854503,SqueezeNet,FlexiBO+RF,0
307,0.105457588578706,0.344429080726679,SqueezeNet,FlexiBO+RF,0
308,0.104190630511684,0.36023534967707,SqueezeNet,FlexiBO+RF,0
309,0.102923672444662,0.421466420378161,SqueezeNet,FlexiBO+RF,0
310,0.095221901037238,0.432813180925522,SqueezeNet,FlexiBO+RF,0
311,0.207098199252495,0.152240783154181,SqueezeNet,Log-FlexiBO+GP,0
312,0.199529791852126,0.174301598918481,SqueezeNet,Log-FlexiBO+GP,0
313,0.189394127315949,0.197033905095016,SqueezeNet,Log-FlexiBO+GP,0
314,0.178093828247164,0.219165936221635,SqueezeNet,Log-FlexiBO+GP,0
315,0.140508750345913,0.257188765356772,SqueezeNet,Log-FlexiBO+GP,0
316,0.116641194141319,0.283554180898153,SqueezeNet,Log-FlexiBO+GP,0
317,0.104190630511684,0.349810840660285,SqueezeNet,Log-FlexiBO+GP,0
318,0.295333066605319,0.168047872008643,SqueezeNet,Log-FlexiBO+RF,0
319,0.273952979185213,0.171301598918481,SqueezeNet,Log-FlexiBO+RF,0
320,0.229529791852126,0.184103207089989,SqueezeNet,Log-FlexiBO+RF,0
321,0.184276283545215,0.190465209526324,SqueezeNet,Log-FlexiBO+RF,0
322,0.171775708412935,0.220216892854503,SqueezeNet,Log-FlexiBO+RF,0
323,0.145457588578706,0.244429080726679,SqueezeNet,Log-FlexiBO+RF,0
324,0.124190630511684,0.26023534967707,SqueezeNet,Log-FlexiBO+RF,0
325,0.112923672444662,0.321466420378161,SqueezeNet,Log-FlexiBO+RF,0
326,0.109522190103724,0.372813180925522,SqueezeNet,Log-FlexiBO+RF,0
327,0.431816551140096,0.160335563178459,SqueezeNet,Max-Uncertainty + GP,0
328,0.392000493446826,0.168141392622194,SqueezeNet,Max-Uncertainty + GP,0
329,0.203466330589369,0.172097075201085,SqueezeNet,Max-Uncertainty + GP,0
330,0.183466330589369,0.183236065919705,SqueezeNet,Max-Uncertainty + GP,0
331,0.178093828247164,0.191659362216347,SqueezeNet,Max-Uncertainty + GP,0
332,0.167874811206577,0.24995022409009,SqueezeNet,Max-Uncertainty + GP,0
333,0.156691205643965,0.27112364492566,SqueezeNet,Max-Uncertainty + GP,0
334,0.132923672444662,0.296950033949071,SqueezeNet,Max-Uncertainty + GP,0
335,0.253330666053192,0.230478720086427,SqueezeNet,Max-Uncertainty + RF,0
336,0.253330666053192,0.230478720086427,SqueezeNet,Max-Uncertainty + RF,0
337,0.213952979185213,0.263015989184808,SqueezeNet,Max-Uncertainty + RF,0
338,0.212952979185213,0.291032070899885,SqueezeNet,Max-Uncertainty + RF,0
339,0.191427628354521,0.30465209526324,SqueezeNet,Max-Uncertainty + RF,0
340,0.181177570841293,0.320216892854503,SqueezeNet,Max-Uncertainty + RF,0
341,0.170545758857871,0.334429080726679,SqueezeNet,Max-Uncertainty + RF,0
342,0.150419063051168,0.38023534967707,SqueezeNet,Max-Uncertainty + RF,0
343,0.140292367244466,0.401466420378161,SqueezeNet,Max-Uncertainty + RF,0
